# LF_DEM version v2.0-391-g1c468a8-dirty
# np 200
# VF 0.45
# Lx 13.9626
# Ly 13.9626
# Lz 13.9626
#1: particle 1 label
#2: particle 2 label
#3: contact state (0 = no contact, 1 = frictionless contact, 2 = non-sliding frictional, 3 = sliding frictional)
#4: normal vector, oriented from particle 1 to particle 2 x
#5: normal vector, oriented from particle 1 to particle 2 y
#6: normal vector, oriented from particle 1 to particle 2 z
#7: dimensionless gap = s-2, s = 2r/(a1+a2)
#8: normal part of the lubrication force
#9: tangential part of the lubrication force x
#10: tangential part of the lubrication force y
#11: tangential part of the lubrication force z
#12: norm of the normal part of the contact force
#13: tangential part of the contact force, x
#14: tangential part of the contact force, y
#15: tangential part of the contact force, z
#16: norm of the normal repulsive force
#17: Viscosity contribution of contact xF

# 0 745 0
0 65 0 -0.993311 0.108622 0.0391787 0.0770582 -0 0 0 0 0 0 0 0 0 0 
0 69 0 -0.0528868 0.174073 -0.983312 0.15558 -0 0 0 0 0 0 0 0 0 0 
0 84 0 0.281689 0.959418 -0.0129969 0.0606443 -0 0 0 0 0 0 0 0 0 0 
0 108 0 0.82957 0.224258 -0.511391 0.133593 -0 0 0 0 0 0 0 0 0 0 
0 127 0 -0.570074 -0.242527 0.784981 0.429687 -0 0 0 0 0 0 0 0 0 0 
0 156 0 -0.0372063 -0.898258 -0.43789 0.0664807 0 0 0 0 0 0 0 0 0 0 
0 192 0 0.866838 -0.168442 0.469275 0.101891 -0 0 0 0 0 0 0 0 0 0 
1 96 0 0.405793 -0.437775 -0.8023 0.233882 -0 0 0 0 0 0 0 0 0 0 
1 151 0 0.246464 0.606229 -0.756136 0.100162 -0 0 0 0 0 0 0 0 0 0 
1 198 0 0.71035 -0.501549 0.493813 0.0707266 -0 0 0 0 0 0 0 0 0 0 
2 12 0 -0.770226 0.610203 -0.185483 0.0961761 -0 0 0 0 0 0 0 0 0 0 
2 25 0 0.83779 -0.508753 0.198188 0.223207 -0 0 0 0 0 0 0 0 0 0 
2 32 0 0.520266 0.145571 0.841506 0.101385 -0 0 0 0 0 0 0 0 0 0 
